 ,de,en,es,fr,it,ja,ko,pt,ru,zh
find.desc,"Gibt den Wert des ersten Elements im bereitgestellten Array zurück, das die bereitgestellte Testfunktion erfüllt.","Returns the value of the first element in the provided array that satisfies the provided testing function. The function is invoked with three arguments; (element, index, array).",Devuelve el valor del primer elemento de la matriz proporcionada que satisface la función de prueba proporcionada.,Renvoie la valeur du premier élément du tableau fourni qui satisfait à la fonction de test fournie.,"Ritorna il valore del primo elemento nell'array fornito che soddisfa la funzione di test fornita. La funzione è invocata con tre argomenti; (elemento, indice, array).","指定された配列の中で、指定されたテスト関数を満たす最初の要素の値を返します。この関数は、3つの引数 (element, index, array) を指定して呼び出されます。",제공된 테스트 기능을 충족하는 제공된 배열의 첫 번째 요소 값을 반환합니다.,Retorna o valor do primeiro elemento na matriz fornecida que satisfaz a função de teste fornecida.,"Возвращает значение первого элемента предоставленного массива, удовлетворяющего предоставленной функции тестирования.",返回所提供数组中满足所提供测试函数的第一个元素的值。
find.argNote1,"Funktion, die für jeden Wert im Array ausgeführt werden soll.",Function to execute on each value in the array.,Función a ejecutar en cada valor del array.,Fonction à exécuter sur chaque valeur du tableau.,Funzione da eseguire per ogni valore nell'array.,配列の各値に対して実行する関数。,배열의 각 값에 대해 실행되는 함수입니다.,Função a ser executada em cada valor do array.,"Функция, выполняемая для каждого значения массива.",对数组中的每个值执行的函数。
find.return,"Der Wert des ersten Elements im Array, das die bereitgestellte Testfunktion erfüllt. ","The value of the first element in the array that satisfies the provided testing function. Otherwise, `""` if none found.",El valor del primer elemento de la matriz que satisface la función de prueba proporcionada. ,La valeur du premier élément du tableau qui satisfait à la fonction de test fournie. ,Il valore del primo elemento nell'array che soddisfa la funzione di test fornita. Altrimenti "".,与えられたテスト関数を満たす配列の最初の要素の値。見つからない場合は `""` を返す。,제공된 테스트 기능을 충족하는 배열의 첫 번째 요소 값입니다. ,O valor do primeiro elemento na matriz que satisfaz a função de teste fornecida. ,"Значение первого элемента массива, удовлетворяющего предоставленной функции тестирования. ",数组中满足所提供的测试函数的第一个元素的值。
findIndex.desc,"Gibt den Index des ersten Elements im Array zurück, das die bereitgestellte Testfunktion erfüllt.","Returns the index of the first element in the array that satisfies the provided testing function. Otherwise, it returns -1, indicating that no element passed the test. The function is invoked with three arguments; (element, index, array).",Devuelve el índice del primer elemento de la matriz que satisface la función de prueba proporcionada.,Renvoie l'index du premier élément du tableau qui satisfait à la fonction de test fournie.,"Ritorna l'indice del primo elemento nell'array che soddisfa la funzione di test fornita. Altrimenti ritorna -1, a indicare che nessuno degli elementi ha passato il test. La funzione è invocata con tre argomenti; (elemento, indice, array).",指定したテスト関数を満たす配列の最初の要素のインデックスを返します。そうでない場合は -1 を返し、どの要素もテストに合格しなかったことを示します。この関数は、3つの引数（要素、インデックス、配列）で呼び出されます。,제공된 테스트 함수를 만족하는 배열의 첫 번째 요소 인덱스를 반환합니다.,Retorna o índice do primeiro elemento da matriz que satisfaz a função de teste fornecida.,"Возвращает индекс первого элемента массива, удовлетворяющего предоставленной функции тестирования.",返回数组中满足所提供的测试函数的第一个元素的索引。
findIndex.argNote1,"Funktion, die für jeden Wert im Array ausgeführt werden soll.",Function to execute on each value in the array.,Función a ejecutar en cada valor del array.,Fonction à exécuter sur chaque valeur du tableau.,Funzione da eseguire per ogni valore nell'array.,配列の各値に対して実行する関数。,배열의 각 값에 대해 실행되는 함수입니다.,Função a ser executada em cada valor do array.,"Функция, выполняемая для каждого значения массива.",对数组中的每个值执行的函数。
findIndex.return,"Der Index oder Schlüsselwert des ersten Elements im Array, das die bereitgestellte Testfunktion erfüllt. ","The index or key value of the first element in the array that satisfies the provided testing function. Otherwise, `-1` if not found.",El índice o valor clave del primer elemento de la matriz que satisface la función de prueba proporcionada. ,L'index ou la valeur de clé du premier élément du tableau qui satisfait à la fonction de test fournie. ,L'indice o il valore della chiave del primo elemento nell'array che soddisfa la funzione di test fornita. Altrimenti "-1" se non trovato.,与えられたテスト関数を満たす配列の最初の要素のインデックスまたはキー値。見つからない場合は `-1` を返す。,제공된 테스트 기능을 충족하는 배열의 첫 번째 요소의 인덱스 또는 키 값입니다. ,O índice ou valor chave do primeiro elemento na matriz que satisfaz a função de teste fornecida. ,"Индекс или ключевое значение первого элемента массива, удовлетворяющего предоставленной функции тестирования. ",数组中满足所提供的测试函数的第一个元素的索引或键值。
forEach.desc,Führt eine bereitgestellte Funktion einmal für jedes Array-Element aus.,"Executes a provided function once for each array element. The function is invoked with three arguments; (element, index, array).",Ejecuta una función proporcionada una vez para cada elemento de la matriz.,Exécute une fonction fournie une fois pour chaque élément du tableau.,"Esegue una funzione fornita una volta per ogni elemento dell'array. La funzione è invocata con tre argomenti; (elemento, indice, array).",指定された関数を、配列の各要素に対して 1 回ずつ実行します。この関数は、3つの引数（要素、インデックス、配列）で呼び出されます。,각 배열 요소에 대해 제공된 함수를 한 번씩 실행합니다.,Executa uma função fornecida uma vez para cada elemento da matriz.,Выполняет предоставленную функцию один раз для каждого элемента массива.,为每个数组元素执行一次提供的函数。
forEach.argNote1,"Funktion, die für jeden Wert im Array ausgeführt werden soll.",Function to execute on each value in the array.,Función a ejecutar en cada valor del array.,Fonction à exécuter sur chaque valeur du tableau.,Funzione da eseguire per ogni valore nell'array.,配列の各値に対して実行する関数。,배열의 각 값에 대해 실행되는 함수입니다.,Função a ser executada em cada valor do array.,"Функция, выполняемая для каждого значения массива.",对数组中的每个值执行的函数。
forEach.return,wird immer zurückgegeben.,is always returned.,siempre se devuelve.,est toujours renvoyé.,Ritorna "" in ogni caso.,が常に返される。,항상 반환됩니다.,é sempre retornado.,Всегда возвращается пустая строка.,总是被返回。
includes.desc,"Bestimmt, ob ein Array einen bestimmten Wert in seinen Einträgen enthält, und gibt je nach Bedarf `true` oder `false` zurück.","Determines whether an array includes a certain value among its entries, returning true or false as appropriate.","Determina si una matriz incluye un determinado valor entre sus entradas, devolviendo verdadero o falso según corresponda.","Détermine si un tableau inclut une certaine valeur parmi ses entrées, renvoyant vrai ou faux selon le cas.","Determina se un array include un determinato valore tra le sue voci, ritornando true o false.",配列のエントリの中に特定の値が含まれているかどうかを判定し、 適宜 true あるいは false を返します。,배열의 항목 중 특정 값이 포함되어 있는지 여부를 결정하고 적절하게 true 또는 false를 반환합니다.,"Determina se um array inclui um determinado valor entre suas entradas, retornando verdadeiro ou falso conforme apropriado.","Определяет, включает ли массив определенное значение среди своих записей, возвращая true или false в зависимости от ситуации.",确定数组的条目中是否包含某个值，根据需要返回 true 或 false。
includes.argNote1,"Der Wert, nach dem gesucht werden soll.",The value to search for.,El valor a buscar.,La valeur à rechercher.,Il valore da cercare.,検索する値。,검색할 값입니다.,O valor a ser pesquisado.,Искомое значение.,要搜索的值。
includes.argNote2,"(Standard `1`) Der Index, bei dem die Suche gestartet werden soll.","(Default `1`) The index to start the search at. If the provided index value is a negative number, it is taken as the offset from the end of the array.",(Predeterminado `1`) El índice para iniciar la búsqueda.,(Par défaut `1`) L'index à partir duquel démarrer la recherche.,"(Predefinito `1`) L'indice con cui iniziare la ricerca. Se l'indice fornito è un numero negativo, viene interpretato come differenza dalla fine dell'array.",(デフォルト `1`） 検索を開始するインデックス。指定したインデックスが負の数の場合は、配列の末尾からのオフセットとして扱われます。,(기본값 '1') 검색을 시작할 인덱스입니다.,(Padrão `1`) O índice no qual iniciar a pesquisa.,"(По умолчанию `1`) Индекс, с которого начинается поиск.",（默认为“1”）开始搜索的索引。
includes.return,"`true`, wenn der Wert valueToFind innerhalb des Arrays gefunden wird (oder dem Teil des Arrays, der durch den Index fromIndex angegeben wird, falls angegeben). ","`true` if the value valueToFind is found within the array (or the part of the array indicated by the index fromIndex, if specified). Otherwise `false`.","`true` si el valor valueToFind se encuentra dentro de la matriz (o la parte de la matriz indicada por el índice fromIndex, si se especifica). ","`true` si la valeur valueToFind est trouvée dans le tableau (ou dans la partie du tableau indiquée par l'index fromIndex, si spécifié). ",""true" se il valore valueToFind si trova nell'array (o nella parte dell'array indicata dall'indice fromIndex, se specificato). Altrimenti "false".",valueToFind の値が配列 (または、インデックス fromIndex が指定されている場合はその部分) 内で見つかった場合は `true` 。そうでない場合は `false` である。,valueToFind 값이 배열(또는 지정된 경우 fromIndex 인덱스가 나타내는 배열 부분) 내에서 발견되면 'true'입니다. ,"`true` se o valor valueToFind for encontrado dentro do array (ou a parte do array indicada pelo índice fromIndex, se especificado). ","`true`, если значение valueToFind найдено внутри массива (или части массива, указанной индексом fromIndex, если он указан). ",如果在数组（或由索引 fromIndex 指示的数组部分，如果指定）中找到值 valueToFind，则为“true”。
indexOf.desc,"Gibt den ersten Index zurück, an dem ein bestimmtes Element im Array gefunden werden kann, oder `-1`, wenn es nicht vorhanden ist.","Returns the first index at which a given element can be found in the array, or `-1` if it is not present.","Devuelve el primer índice en el que se puede encontrar un elemento determinado en la matriz, o "-1" si no está presente.","Renvoie le premier index auquel un élément donné peut être trouvé dans le tableau, ou « -1 » s'il n'est pas présent.",Ritorna il primo indice in cui si trova un determinato elemento nell'array o "-1" se non è presente.,与えられた要素が配列内で見つかる最初のインデックスを返す。,배열에서 특정 요소를 찾을 수 있는 첫 번째 인덱스를 반환하거나 해당 요소가 없으면 '-1'을 반환합니다.,Retorna o primeiro índice no qual um determinado elemento pode ser encontrado no array ou `-1` se não estiver presente.,"Возвращает первый индекс, по которому можно найти данный элемент в массиве, или «-1», если он отсутствует.",返回在数组中可以找到给定元素的第一个索引，如果不存在则返回“-1”。
indexOf.argNote1,"Der Wert, nach dem gesucht werden soll.",The value to search for.,El valor a buscar.,La valeur à rechercher.,. Il valore da cercare.,検索する値。,검색할 값입니다.,O valor a ser pesquisado.,Искомое значение.,要搜索的值。
indexOf.argNote2,"(Standard `1`) Der Index, bei dem die Suche gestartet werden soll.","(Default `1`) The index to start the search at. If the provided index value is a negative number, it is taken as the offset from the end of the array.",(Predeterminado `1`) El índice para iniciar la búsqueda.,(Par défaut `1`) L'index à partir duquel démarrer la recherche.,"(Predefinito `1`) L'indice con cui iniziare la ricerca. Se l'indice fornito è un numero negativo, viene interpretato come differenza dalla fine dell'array.",(デフォルト `1`） 検索を開始するインデックス。指定したインデックスが負の数の場合は、配列の末尾からのオフセットとして扱われます。,(기본값 '1') 검색을 시작할 인덱스입니다.,(Padrão `1`) O índice no qual iniciar a pesquisa.,"(По умолчанию `1`) Индекс, с которого начинается поиск.",（默认为“1”）开始搜索的索引。
indexOf.return,"Der Index oder Schlüsselwert des ersten Elements im Array, das mit dem searchElement übereinstimmt. ","The index or key value of the first element in the array that matches the searchElement. Otherwise, `-1` if not found.",El índice o valor clave del primer elemento de la matriz que coincide con searchElement. ,L'index ou la valeur de clé du premier élément du tableau qui correspond à searchElement. ,L'indice o il valore della chiave del primo elemento nell'array che corrisponde a searchElement. Altrimenti "-1" se non trovato.,searchElementにマッチする配列の最初の要素のインデックスまたはキー値。見つからない場合は `-1` を返す。,searchElement와 일치하는 배열의 첫 번째 요소에 대한 인덱스 또는 키 값입니다. ,O índice ou valor-chave do primeiro elemento na matriz que corresponde ao searchElement. ,"Индекс или значение ключа первого элемента массива, соответствующего элементу searchElement. ",数组中与 searchElement 匹配的第一个元素的索引或键值。
join.desc,"Gibt eine neue Zeichenfolge zurück, indem alle Elemente in einem Array, getrennt durch Kommas oder eine angegebene Trennzeichenfolge, verkettet werden.","Returns a new string by concatenating all of the elements in an array, separated by commas or a specified separator string. If the array has only one item, then that item will be returned without using the separator.","Devuelve una nueva cadena concatenando todos los elementos de una matriz, separados por comas o una cadena separadora especificada.","Renvoie une nouvelle chaîne en concaténant tous les éléments d'un tableau, séparés par des virgules ou une chaîne de séparation spécifiée.","Ritorna una nuova stringa concatenando tutti gli elementi in un array, separati da virgole o da una stringa separatrice specificata. Se l'array ha solo un oggetto, ritorna lo stesso oggetto senza il separatore.",配列のすべての要素を、カンマあるいは指定した区切り文字列で区切って連結した文字列を返します。配列の要素がひとつだけの場合は、区切り文字を使用せずにその要素を返します。,쉼표 또는 지정된 구분 기호 문자열로 구분된 배열의 모든 요소를 ​​연결하여 새 문자열을 반환합니다.,"Retorna uma nova string concatenando todos os elementos em uma matriz, separados por vírgulas ou por uma string separadora especificada.","Возвращает новую строку путем объединения всех элементов массива, разделенных запятыми или указанной строкой-разделителем.",通过连接数组中的所有元素（以逗号或指定的分隔符字符串分隔）来返回一个新字符串。
join.argNote1,"(Standard `","`) Gibt eine Zeichenfolge an, um jedes Paar benachbarter Elemente des Arrays zu trennen.","(Default `","`) Specifies a string to separate each pair of adjacent elements of the array. The separator is converted to a string if necessary. If separator is an empty string (`""`), all elements are joined without any characters in between them.","(Predeterminado `","`) Especifica una cadena para separar cada par de elementos adyacentes de la matriz.","(Par défaut `","`) Spécifie une chaîne pour séparer chaque paire d'éléments adjacents du tableau.","(Predefinito `","`) Specifica una stringa per separare ciascuna coppia di elementi adiacenti dell'array. Il separatore viene convertito in stringa se necessario. Se il separatore è una stringa vuota (""), tutti gli elementi sono uniti senza caratteri tra di loro.","(デフォルト `","`) 配列の隣接する各要素を区切る文字列を指定します。separator は必要に応じて文字列に変換されます。separator が空文字列 (`""`) の場合、すべての要素は間に文字を入れずに連結されます。","(기본값 `","`) 배열의 인접한 요소의 각 쌍을 구분하는 문자열을 지정합니다.","(Padrão `","`) Especifica uma string para separar cada par de elementos adjacentes do array.","(По умолчанию `","`) Указывает строку для разделения каждой пары соседних элементов массива.","（默认`","`）指定一个字符串来分隔数组的每对相邻元素。"
join.return,"Eine Zeichenfolge, bei der alle Array-Elemente verbunden sind. ","A string with all array elements joined. If array.Count() is 0, an empty string `""` is returned.",Una cadena con todos los elementos de la matriz unidos. ,Une chaîne avec tous les éléments du tableau joints. ,"Una stringa con tutti gli elementi dell'array uniti. Se array.Count() è 0, ritorna una stringa vuota "".",配列の全要素を連結した文字列。array.Count() が 0 の場合、空の文字列 `""` が返される。,모든 배열 요소가 결합된 문자열입니다. ,Uma string com todos os elementos do array unidos. ,"Строка, в которой объединены все элементы массива. ",所有数组元素连接在一起的字符串。
keys.desc,"Gibt ein neues Array zurück, das die Schlüssel für jeden Index im Array enthält.",Returns a new array that contains the keys for each index in the array.,Devuelve una nueva matriz que contiene las claves para cada índice de la matriz.,Renvoie un nouveau tableau contenant les clés de chaque index du tableau.,Ritorna un nuovo array che contiene le chiavi per ogni indice nell'array.,配列の各インデックスのキーを含む新しい配列を返します。,배열의 각 인덱스에 대한 키를 포함하는 새 배열을 반환합니다.,Retorna uma nova matriz que contém as chaves de cada índice da matriz.,"Возвращает новый массив, содержащий ключи для каждого индекса массива.",返回一个新数组，其中包含数组中每个索引的键。
